"ID","O'zlashma so'z","Kelib chiqishi va ma'nosi","O'zbekcha muqobili","Foydalanish holatlari"
"1","Аванс","Fransuz tilidan oʻzlashgan soʻz boʻlib, “oldindan toʻlov”, “jismoniy yoki yuridik shaxs tomonidan boshqasiga kelgusida toʻlanadigan haq hisobidan oldindan beriladigan pul miqdori” degan maʼnoni bildiradi.","Boʻnak","“Avans” va “boʻnak” atamalari qonunchilik hujjatlarida, rasmiy ish yuritishda hamda jonli muloqotda barobar qoʻllanmoqda. “Boʻnak” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi hamda atamaning yagona shaklda qoʻllanishiga olib keladi."
"2","Автопилот","Yunon va fransuz tillaridan oʻzlashgan soʻz birikmasi. Turli transport vositalarini inson aralashuvisiz avtomatik boshqarish tizimi maʼnosida qoʻllaniladi.","Avtoboshqaruv","“Avtopilot” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Avtoboshqaruv” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Hozirda turli lugʻatlar, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda ishlatib kelinmoqda."
"3","Айсберг","Nemis tilidan oʻzlashgan soʻz bo‘lib, okean va dengizlarda erkin suzib yuruvchi katta muz boʻlagi – “muz togʻ” degani.","Muztogʻ","“Aysberg” va “muztogʻ” atamalari darslik, qoʻllanmalarda, firma va tovar nomi sifatida qoʻllangan. Bundan tashqari, lugʻatlarda oʻzaro sinonim sifatida berilib, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanilmoqda. “Muztogʻ” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"4","Бодикамера","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “tana kamerasi” maʼnosida keladi.","Yonkamera","“Bodikamera” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Yonkamera” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Hozirda turli lugʻatlar, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda ishlatib kelinmoqda."
"5","Брызговик","Rus tilidan oʻzlashgan soʻz. Gʻildiraklardan otiladigan loy va suv turli tomonlarga sachrashining oldini oladigan jihoz.","Loytoʻskich","Ushbu atama qonunchilik hujjatlarida “sachratmagichlar (brizgovik)” shaklida qoʻllangan. Jonli muloqotda esa “brizgovik” tarzida ishlatib kelinmoqda. “Loytoʻskich” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"6","Внедорожник","Rus tilidan oʻzlashgan soʻz bo‘lib, qiyin sharoitlarga chidamli avtomobil maʼnosini bildiradi.","Yoʻltanlamas","“Yoʻltanlamas” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Bundan tashqari, atamadan OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanib kelinmoqda."
"7","Дискуссия","Lotincha “discussio” soʻzidan oʻzlashgan boʻlib, muammo yuzasidan erkin muhokama, bahs, munozaraga kirishish maʼnosini bildiradi.","Bahs, munozara","“Diskussiya” atamasi darslik, qoʻllanmalar, ilmiy ishlarda qoʻllanmoqda. “Bahs”, “munozara” atamalari oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Ular manbalarda sinonim sifatida birga qoʻllanib, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanilmoqda."
"8","Доставка","Rus tilidan oʻzlashgan soʻz bo‘lib, tovarlarni belgilangan manzilga yetkazish, eltib berish maʼnolarida keladi.","Yetkazish","“Dostavka” soʻzi umumiy ovqatlanish shoxobchalarida, savdo, ishlab chiqarish va xizmat koʻrsatishda, tovar, narsa-buyumlarni yetkazish xizmatlari, reklamalarda, umuman, jonli soʻzlashuvda faol qoʻllanmoqda. “Yetkazish” soʻzi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"9","Зона","Yunoncha “zona” soʻzidan oʻzlashgan boʻlib, “mintaqa”, “belbogʻ”, chiziqlar bilan belgilangan chegara joylar maʼnosini bildiradi.","Hudud","“Zona” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Hudud” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"10","Карвинг","Ingliz tilidan oʻzlashgan soʻz boʻlib, “kesish”, “oʻyish” degani. Hozirda meva, sabzavot va narsa-buyumlarga kesib, oʻyib bezak berish sanʼati maʼnolarida qoʻllanmoqda.","Oʻymabezak","“Karving” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Oʻymabezak” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"11","Конфиденциал","Lotincha “confidentialis” soʻzidan olingan bo‘lib, “ishonchga loyiq”, “maxfiy” degan maʼnoga toʻgʻri keladi.","Maxfiy","“Konfidensial” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Maxfiy” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"12","Кластер","Ingliz tilidan oʻzlashgan soʻz boʻlib, “moʻy qalam”, “toʻplam”, “toʻda” degan maʼnoda keladi. Bir maqsad uchun birlashgan kichik tuzilma.","Klaster","“Klaster” atamasi qonunchilik hujjatlarida, rasmiy ish yuritishda hamda jonli muloqotda qoʻllanmoqda. “Klaster” atamasi keng ommalashgan tushuncha, oʻzbek tiliga oʻzlashib, lugʻat boyligini oshirishga xizmat qiladi."
"13","Коворкинг","Ingliz tilidan oʻzlashgan soʻz boʻlib, “hamkorlik” degani. Tadbirkorlar yoki turli ish beruvchilar uchun ishlaydigan odamlar tomonidan jihozlar, gʻoyalar va bilimlar almashishga moʻljallangan ofis yoki boshqa ish muhiti.","Ish markazi","“Kovorking” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Ish markazi” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"14","Коловорот","Rus tilidan oʻzlashgan soʻz. Aksariyat hollarda yogʻochda diametri katta teshiklarni parmalash yordamida ochish uchun ishlatiladigan qoʻl asbobi.","Qoʻlparma","“Kolovorot” atamasi texnika, avtomobilsozlik sohalarida qoʻllanmoqda. “Qoʻlparma” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"15","Коридор","Italyan tilidan oʻzlashgan soʻz bo‘lib, bino ichidagi xonalarni bir-biriga bogʻlovchi yoʻlak maʼnosini beradi.","Yoʻlak","“Koridor” atamasi jonli muloqot, tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Yoʻlak” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"16","Котлован","Rus tilidan oʻzlashgan soʻz bo‘lib, “poydevor chuquri” degan maʼnoni bildiradi.","Xandaq","“Kotlovan” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Xandaq” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"17","Лебёдка","Rus tilidan oʻzlashgan soʻz. Baraban yoki “yulduzcha”ga oʻraladigan harakatlanuvchi arqon (yoki zanjir) vositasida yuklarni koʻtarish va boshqa yerga koʻchirishga xizmat qiluvchi moslama.","Chigʻir","“Lebyodka” va “chigʻir” atamalari tegishli sohalar hamda qonunchilik hujjatlarida barobar qoʻllanmoqda. “Chigʻir” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"18","Лидер","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “birinchi”, “birinchi yuruvchi”, “yetakchi” degan maʼnolarni bildiradi.","Yoʻlboshchi, yetakchi","“Lider” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Yoʻlboshchi” va “yetakchi” atamalari oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"19","Линк","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “bogʻlam”, “aloqa”, “ikki narsa yoki vaziyat oʻrtasidagi munosabat, bogʻlanish” maʼnolarida qoʻllaniladi.","Havola","“Link” atamasi ilmiy tadqiqot ishlarida, oʻquv jarayonida, umuman, jonli soʻzlashuvda faol qoʻllanmoqda. “Havola” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"20","Маркировка","Nemis tilidan oʻzlashgan soʻz bo‘lib, “tamgʻalash”, “belgilash” degan maʼnoni bildiradi.","Tamgʻalash","“Markirovka” va “tamgʻalash” atamalari tegishli sohalar hamda qonunchilik hujjatlarida barobar qoʻllanmoqda. “Tamgʻalash” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"21","Маршрут","Fransuz tilidan oʻzlashgan soʻz bo‘lib, “yurish”, “yoʻl”, “yoʻnalishli yoʻl” maʼnolarini bildiradi.","Yoʻnalish","“Marshrut” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Yoʻnalish” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"22","Мастер класс","Ingliz tilidan oʻzlashgan soʻz boʻlib, “mahorat darsi”, “mahorat ustaxonasi” degan maʼnoni ifodalaydi.","Mahorat darsi","“Masterklas” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Mahorat darsi” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"23","Мотивация","Lotincha “movere” soʻzidan olingan boʻlib, “harakat”, “harakat qilishga undash” maʼnosida kelgan.","Ruhlantirish, ragʻbat","“Motivatsiya” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Ruhlantirish” va “ragʻbat” atamalari oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"24","Навигатор","Lotincha “navigator” soʻzidan oʻzlashgan bo‘lib, “kemani yoʻlga boshlash/yoʻllash” maʼnosini bildirgan.","Yoʻllagich","“Navigator” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Yoʻllagich” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"25","Наждак","Rus tili orqali oʻzlashgan soʻz. Najdak minerali bilan qoplangan qogʻoz, qurilish sohasida hamda metallarni silliqlashda foydalaniladi.","Qumqogʻoz","“Najdak” atamasi jonli muloqotda, qonunchilik hujjatlarida qo‘llanmoqda. “Qumqogʻoz” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"26","Оправа","Rus tilidan oʻzlashgan soʻz bo‘lib, biron narsani joylash mumkin boʻlgan asos, gardish, tegra maʼnolarida keladi.","Gardish","“Oprava” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Gardish” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"27","Отвёртка","Rus tilidan oʻzlashgan soʻz bo‘lib, “burash”, “aylantirish” maʼnosida keladi, burama mixlarni qotirish va yechib olishda ishlatiladigan asbob nomi.","Buragich","“Otvyortka” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Buragich” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"28","Парол","Fransuz tilidan oʻzlashgan soʻz bo‘lib, “maxfiy shartli soʻz” degan maʼnoda keladi.","Oʻron","“Parol” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Oʻron” atamasi qadimgi yozma manbalarimizda aynan “parol” tushunchasining maʼnosida ishlatib kelingan. Atama oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi va lugʻat boyligini oshirishga xizmat qiladi."
"29","Переплёт","Rus tilidan oʻzlashgan soʻz bo‘lib, “kitobni muqovalash” degan maʼnoni bildiradi.","Muqovalash","“Pereplyot” atamasi qonunchilik hujjatlarida qoʻllanmoqda. Nashriyot, bosmaxona ishlarida, tashqi reklamalarda, umuman, soʻzlashuvda faol soʻz hisoblanadi. “Muqovalash” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"30","Полик","Rus tilidan oʻzlashgan soʻz boʻlib, “kiyim qiyqimi”, “gilamcha”, “toʻshama”, “avtomobil gilamchasi” maʼnolarini bildirgan.","Toʻshama","“Polik” atamasi narsa-buyum nomi sifatida faol qo‘llanadigan soʻzlardan biri hisoblanadi. “Toʻshama” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"31","Портфолио","Lotin va italyan tillaridan oʻzlashgan soʻz birikmasi bo‘lib, “muhim hujjatlar papkasi”, “yutuqlar jamlanmasi” degan maʼnolarni bildiradi.","Yigʻmajild","“Portfolio” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Yigʻmajild” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"32","Прогрессив","Lotincha “progressus” soʻzidan oʻzlashgan boʻlib, “ilgʻor”, “muvaffaqiyat”, “ilgari yurish” maʼnolarida kelgan.","Ilgʻor","“Progressiv” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qo‘llanmoqda. “Ilgʻor” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"33","Растушевка","Rus tilidan oʻzlashgan soʻz bo‘lib, “soya berish”, “bir rangdan ikkinchisiga tush yordamida silliq oʻtish” degan maʼnolarda keladi.","Qoshpardoz","“Rastushevka” atamasi xizmat koʻrsatish sohasida qoʻllaniladi. “Qoshpardoz” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"34","Светофор","Rus va yunon tillaridagi soʻzlar birikmasi bo‘lib, “nur taratuvchi”, avtomobillar harakatini tartibga soluvchi chiroq maʼnosini bildirgan.","Yoʻlchiroq","“Svеtofor” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. Harakatni tartibga soluvchi qurilma sifatida soʻzlashuvda faol soʻzlardan biri hisoblanadi. “Yoʻlchiroq” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"35","Силлабус","Lotincha “syllabus” soʻzidan olingan boʻlib, “ishlar roʻyxati”, “katalog”, “ilova” degan maʼnoda qoʻllanilgan.","Ishchi dastur","“Sillabus” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Ishchi dastur” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"36","Смарт","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “aqlli”, “ustomon”, “epchil” maʼnolarida qoʻllanilgan. Murakkab texnik vazifalarni tez va xatosiz bajaradigan qurilma.","Aqlli","“Smart” va “aqlli” atamalari tegishli sohalar hamda qonunchilik hujjatlarida barobar qoʻllanmoqda. “Aqlli” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"37","Челленж","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “chaqiriq”, “bellashuv”, “chorlov” maʼnolarida keladi.","Chorlov","“Chellenj” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Chorlov” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Hozirda OAV, rasmiy saytlar, ijtimoiy tarmoqlarda ishlatilib kelinmoqda."
"38","Шуруп","Nemis tilidan oʻzlashgan soʻz. Metall, yogʻoch va plastik jismlarni bir-biriga ulash, bogʻlash uchun qoʻllaniladigan burama mix turi maʼnolarini bildiradi.","Buramamix","“Shurup” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Buramamix” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"39","IT парк","Ingliz tilidan oʻzlashgan soʻz birikmasi bo‘lib, axborot texnologiyalari parki maʼnosini bildiradi.","AT parki (Axborot texnologiyalari parki)","“IT parki” atamasi qonunchilik hujjatlarida faol qoʻllanmoqda. Bundan tashqari, koʻplab eʼlon, reklama, tashqi yozuvlarda ham shu shaklda yozilmoqda. Tushunchaning bu shaklda berilishi oʻzbek tili qoidalariga mos emas. “AT parki” (Axborot texnologiyalari parki) atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"40","IT технологиялари","Ingliz tilidan oʻzlashgan soʻz birikmasi bo‘lib, axborot texnologiyalari maʼnosini bildiradi.","Axborot texnologiyalari (AT)","“IT texnologiyalari” atamasi qonunchilik hujjatlarida faol qoʻllanmoqda. Bundan tashqari, koʻplab eʼlonlar, reklamalar, tashqi yozuvlarda ham shu shaklda ishlatilmoqda. “Axborot texnologiyalari” (AT) atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."